Branch Code,Branch Full Name,Name of HOD,Dept Office Location,Stream
CSE,Computer Science & Engineering,Dr. R. China Appala Naidu,"DES Block, Dept 1 Ground Floor, Dept 2 1st Floor.",Computer Science
CSE(AIML),Computer Science & Engineering – Artificial Intelligence & Machine Learning,Dr. Siddesh G. M.,"Multipurpose Block, 5th Floor.",Computer Science
CSE(CS),Computer Science & Engineering – Cyber Security,Dr. Siddesh G. M.,"Multipurpose Block, 4th Floor.",Computer Science
AIDS,Artificial Intelligence & Data Science,Dr. B. P. Vijaya Kumar,"Apex Block, 7th Floor.",Computer Science
AI&ML,Artificial Intelligence & Machine Learning,Dr. Jagadish S Kallimani ,"Apex Block, 7th Floor.",Computer Science
ISE,Information Science & Engineering,Dr. Sumana M. S.,"DES Block , 2nd floor",Computer Science
ECE,Electronics & Communication Engineering,Dr. Raghuram S.,"DES Block, 2th Floor. ",Electronics
EEE,Electrical & Electronics Engineering,Dr. S. Dawnee,"DES block, 1st floor",Electrical
EIE,Electronics & Instrumentation Engineering,Dr. G. Shivaprakash,"ESB Block, 5th floor",Electronics
ETE,Electronics & Telecommunication Engineering,Dr. Viswanath Talasila,"DES Block, 2th Floor. ",Electronics
MLE,Medical Electronics Engineering,Dr. C. K. Narayanappa,"LHC Block, Basement.",Electronics
ME,Mechanical Engineering,Dr. K. R. V. Subramanian,"ESB Block, Ground  Floor.",Mechanical
CE,Civil Engineering,Dr. Asha M. Nair,"ESB block, 2nd floor",Civil
CHE,Chemical Engineering,Dr. G. M. Madhu,"ESB Block, 1st Floor.",Chemical
IEM,Industrial Engineering & Management,Dr. G. S. Prakash,"ESB block,",Management
AE,Aerospace Engineering,Dr. Jayaram R. Pothnis.,"ESB Block, 1st Floor.",Aerospace
BT,Biotechnology,Dr. M. N. Chandra Prabha,"ESB block,",Biotechnology
B-Arch,Architecture,Dr. Monalisa Bhardwaj,Architecture Block,Architecture
