club_name,category,description,branch_scope
Indian Music Team,Cultural & Performing Arts (Music),"The official Indian classical and contemporary music team representing MSRIT in collegiate festivals, vocal performances, and instrumental competitions.",All Branches
Western Music Team,Cultural & Performing Arts (Music),"Student musical group dedicated to Western vocals, rock bands, acoustic sets, and inter-collegiate band battles.",All Branches
Lasya,Cultural & Performing Arts (Dance),"The premier dance club and troupe of MSRIT, exploring classical, contemporary, eastern, and western dance choreographies.",All Branches
Prayaag,Cultural & Performing Arts (Cultural/Literary),"Student collective engaged in fostering cultural integration, creative expressions, literary pursuits, and artistic campus events.",All Branches
Theatrix,Cultural & Performing Arts (Drama/Theatre),"The English drama and theatre society of MSRIT performing stage plays, street plays, skits, and competitive dramatics.",All Branches
Chiraranga,Cultural & Performing Arts (Theatre/Kannada Drama),"Dedicated theatre and Kannada drama club promoting regional theatre arts, cultural heritage, and stage productions.",All Branches
TNT,Literary Debate & Knowledge,"Literary and speaking club at MSRIT organizing elocution, creative writing, extempore, and communicative development activities.",All Branches
DEBSOC,Literary Debate & Knowledge (Debating),"The official Debate Society of MSRIT conducting Parliamentary debates, Model United Nations (MUN), and discourse forums.",All Branches
Quiz Club,Literary Debate & Knowledge (Quizzing),"Campus quizzing forum hosting competitive general, technical, pop-culture, and business quizzes across colleges.",All Branches
CodeRIT,Technical & Development (Coding/Software),"The core coding community of MSRIT fostering competitive programming, algorithms, hackathons, and open-source software development.","Open to all (Primarily CSE, ISE, AIML, AIDS, Cyber Security)"
Google Developers Club,Technical & Development (Developer Community),"Student developer community supported by Google technologies, hosting workshops on Android, Flutter, Cloud, and web development.","Open to all (Primarily CSE, ISE, AIML, AIDS)"
Tensor AI,Technical & Development (AI & Machine Learning),"Specialized artificial intelligence and machine learning club dedicated to deep learning, neural networks, data science, and AI research projects.","Open to all (Primarily AIML, AIDS, CSE, ISE)"
SecuRIT,Technical & Development (Cybersecurity),"The dedicated cybersecurity and ethical hacking club focusing on penetration testing, network defense, cryptography, and CTF competitions.","Open to all (Primarily Cyber Security, CSE, ISE, ECE)"
Aion,Technical & Development (Emerging Tech/Robotics),"Multidisciplinary technical club developing intelligent systems, automation, smart hardware integration, and emerging technology solutions.","Open to all (Primarily CSE, ECE, EEE, EIE, ME)"
AWS Club,Technical & Development (Cloud Computing),"Cloud computing student forum focused on Amazon Web Services architectures, DevOps pipelines, containerization, and cloud certifications.","Open to all (Primarily CSE, ISE, AIML, AIDS)"
QuantumRIT,Technical & Development (Quantum Computing),"Quantum computing club introducing students to quantum algorithms, Qiskit programming, quantum physics applications, and modern quantum information theory.","Open to all (Primarily CSE, Physics, ECE, Mathematics)"
Aero Club - Team Editha,Engineering & Competitive Teams (Aerospace/UAV),"Premier design and build team building autonomous Unmanned Aerial Systems (UAS), RC planes, and participating in SAE Aero Design and international UAV competitions.","Open to all (Primarily Aerospace, Mechanical, ECE, EEE, CSE)"
Aero Club - Team Quatlas,Engineering & Competitive Teams (Aerospace/Drones),"Student aeromodelling and drone engineering wing developing multi-rotors, quadcopters, surveillance drones, and autonomous flight controllers.","Open to all (Primarily Aerospace, Mechanical, EEE, EIE, CSE)"
SAE Club - Team Stier Racing,Engineering & Competitive Teams (Automotive/Combustion),"Official Formula Student combustion automotive racing team designing, fabricating, and racing prototype formula-style racecars in Formula Bharat and SAE events.","Open to all (Primarily Mechanical, IEM, EEE, ECE)"
SAE Club - Team Velocita,Engineering & Competitive Teams (Electric Vehicles/Baja),All-terrain vehicle (ATV) / EV engineering squad building custom off-road racing vehicles and electric powertrains for SAE BAJA competitions.,"Open to all (Primarily Mechanical, EEE, ECE, IEM)"
SAE Club - Team Volante,Engineering & Competitive Teams (Automotive/Supermileage),Eco-mobility and high-efficiency automotive design team manufacturing ultra-efficient vehicles for global energy and fuel-economy challenges.,"Open to all (Primarily Mechanical, Chemical, EEE, IEM)"
National Service Scheme (NSS),Social Outreach & Civic Responsibility,"Dynamic student-led platform organizing blood donation camps, health awareness drives, rural outreach visits, and educational community support.",All Branches
Entrepreneurship Development Cell (EDC),Entrepreneurship & Leadership,"Student cell cultivating entrepreneurial mindset, business incubation, venture planning, leadership workshops, and founder guest lectures.",All Branches
Ramaiah Evolute,Innovation & Startup Incubation,"Cross-disciplinary innovation and startup incubation ecosystem offering mentorship, seed support, and infrastructure to commercialize student ventures.",All Branches
